Site,Habitat,Sample,Water_Class,Date,Class,Order,Family,Species name,Count,Temperature_C,DO,SC,pH
Bog,Wet,1,Riverine,4/13/23,Unknown,Unknown,Unknown,Annelied,15,13.4292772,0.846625636,225.4007884,7.12
Bog,Wet,1,Riverine,4/13/23,Clitellata,Arhynchobdellida,Unknown,Arhynchobdellida,2,13.4292772,0.846625636,225.4007884,7.12
Bog,Wet,1,Riverine,4/13/23,Insecta,Diptera,Chironomidae,Chironomidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Insecta,Hymenoptera,Formicidae,Formicidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Wet,1,Riverine,4/13/23,Clitellata,Rhynchobdellida,Glossiphoniidae,Glossiphoniidae,2,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Entognatha,Entomobryomorpha,Isotomidae,Isotomidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Sarcoptiformes,Nanhermanniidae,Nanhermanniidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Sarcoptiformes,Nothridae,Nothridae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Oribatida,Unknown,Orbidata,64,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Araneae,Pholcidae,Pholcidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Mesostigmata,Phytoseioidae,Phytoseioidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,Araneae,Plectreuridae,Plectreuridae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Arachnida,"	Opiliones",Sclerosomatidae,Sclerosomatidae,1,13.4292772,0.846625636,225.4007884,7.12
Bog,Wet,1,Riverine,4/13/23,Entognatha,Symphypleona,Sminthurididae,Sminthurididae,2,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,1,Riverine,4/13/23,Insecta,Thysanoptera,Thripidae,Thripidae,8,13.4292772,0.846625636,225.4007884,7.12
Bog,Dry,2,Riverine,4/13/23,Arachnida,Sarcoptiformes,Achipteriidae,Achipteriidae,1,13.2043936,1.206752039,237.9399851,6.42
Bog,Wet,2,Riverine,4/13/23,Unknown,Unknown,Unknown,Annelied,1,13.2043936,1.206752039,237.9399851,6.42
Bog,Dry,2,Riverine,4/13/23,Arachnida,Trombidiformes,Bdellidea,Bdellidea,2,13.2043936,1.206752039,237.9399851,6.42
Bog,Dry,2,Riverine,4/13/23,Entognatha,Entomobryomorpha,Entomobryidae,Entomobryidae,1,13.2043936,1.206752039,237.9399851,6.42
Bog,Wet,2,Riverine,4/13/23,Arachnida,Sarcoptiformes,Nothridae,Nothridae,1,13.2043936,1.206752039,237.9399851,6.42
Bog,Dry,2,Riverine,4/13/23,Insecta,Thysanoptera,Thripidae,Thripidae,11,13.2043936,1.206752039,237.9399851,6.42
Court,Dry,1,Stormwater Wetland,4/3/23,Arachnida,Unknown,Unknown,Acari,2,12.43654268,1.676940404,114.78679,6.06260496
Court,Dry,1,Stormwater Wetland,4/3/23,Arachnida,Trombidiformes,Bdellidea,Bdellidea,1,12.43654268,1.676940404,114.78679,6.06260496
Court,Dry,1,Stormwater Wetland,4/3/23,Arachnida,Mesostigmata,ichthyostomatogasteridae,ichthyostomatogasteridae,1,12.43654268,1.676940404,114.78679,6.06260496
