CC Num,SiteID,AUNum,Stream Class,Date,Waterbody,Watertype,Water_Class,Location,Link,Latitude,Longitude,County,Basin,Subbasin,Huc_8Digit,EcoRegion,Sample Type,Drainage,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Channel Modification,Instream Habitat,Substrate,Pools,Riffles,LBank,RBank,Shade,LRiparian,RRiparian,Total Score
1424,QB276,11-32-1-4b,,4/17/85,CORPENING CR,Creek,,SR 1794,1424,35.646667,-81.953888,McDowell,CTB,30,3050101,MT,Full Scale,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1425,CB17,11-32-1-4b,,4/17/85,YOUNGS FK (COPERNING CR),Creek,,SR 1819,1425,35.65388889,-81.96305556,McDowell,CTB,30,3050101,MT,Full Scale,6.61,0,0,0,0,,,,,,,,,,,
1426,CB44,11-32-(0.5),,4/17/85,N MUDDY CR,Creek,,SR 1760,1426,35.67527778,-81.90638889,McDowell,CTB,30,3050101,MT,Full Scale,44.8,0,0,0,0,,,,,,,,,,,
1620,QB231,12-118.5a,,11/15/85,ABBOTTS CR,Creek,Lake,BOB ALLRED RD,1620,35.75722222,-80.23777778,Davidson,YAD,7,3040103,P,Full Scale,183,0,0,0,0,,,,,,,,,,,
10062,QB392,13-17-36-9-(1),,8/23/06,STEWARTS CR,Creek,Riverine,US 601,10062,35.01277778,-80.54361111,Union,YAD,14,3040105,P,EPT,13.9,24,96,0,3.6,3,16,12,9,10,5,3,10,1,1,70
1619,QB232,12-119-(6)b,,11/15/85,ABBOTTS CR,Creek,Lake,I-85,1619,35.7875,-80.23583333,Davidson,YAD,7,3040103,P,Full Scale,178,0,0,0,0,,,,,,,,,,,
4132,QB385,13-17-36-(5)a2,,7/8/87,RICHARDSON CR,Creek,Riverine,SR 1649,4132,35.07222222,-80.40833333,Union,YAD,14,3040105,P,Full Scale,156.2,0,0,0,0,,,,,,,,,,,
5392,QB385,13-17-36-(5)a2,,7/24/90,RICHARDSON CR,Creek,Riverine,SR 1649,5392,35.07222222,-80.40833333,Union,YAD,14,3040105,P,Full Scale,156.2,0,0,0,0,,,,,,,,,,,
3351,QB232,12-119-(6)b,,9/24/84,ABBOTTS CR,Creek,Lake,I-85,3351,35.7875,-80.23583333,Davidson,YAD,7,3040103,P,Full Scale,178,0,0,0,0,,,,,,,,,,,
3897,QB232,12-119-(6)b,,8/4/86,ABBOTTS CR,Creek,Lake,I-85,3897,35.7875,-80.23583333,Davidson,YAD,7,3040103,P,Full Scale,178,0,0,0,0,,,,,,,,,,,
